---,biomeID,groundcover,trees,rocks,plants,props
ASLB_017,ASLB_017,(MeadowGrass),"(Oak,Birch)","(FieldStone,Boulder,RockOutcrop)","(Wildflowers,Fern,Shrub)","(StoneWall,Hayrick,FencePost)"
ASLB_018,ASLB_018,(MeadowGrass),,"(FieldStone,Boulder,CliffFace)",(Wildflowers),
ASLB_019,ASLB_019,,,"(FieldStone,Boulder,CliffFace,ExposedBedrock)",,
ASLB_020,ASLB_020,,,"(CliffFace,ExposedBedrock)",,
ASLB_021,ASLB_021,"(ForestFloorGrass,Moss,Reeds,Papyrus)","(Pine,Fir,DenseConifer)",(RockOutcrop),"(Fern,Heather,BerryBush,MarshReed)","(Cairn,LogPile,Woodpile)"
ASLB_022,ASLB_022,"(ForestFloorGrass,Moss)","(Pine,Fir,DenseConifer)","(RockOutcrop,Boulder,ScreePatch)","(Fern,Heather,BerryBush)","(Cairn,LogPile,Woodpile)"
ASLB_023,ASLB_023,"(ForestFloorGrass,Moss)","(Pine,Fir,DenseConifer)","(RockOutcrop,Boulder,ScreePatch)","(Fern,Heather,BerryBush)","(Cairn,LogPile,Woodpile)"
ASLB_024,ASLB_024,(ForestFloorGrass),"(Pine,Fir)","(RockOutcrop,Boulder,ScreePatch)","(Fern,Heather,BerryBush)","(Cairn,LogPile,Woodpile)"
ASLB_025,ASLB_025,(ForestFloorGrass),,"(RockOutcrop,Boulder,ScreePatch,CliffFace)",(Fern),
ASLB_026,ASLB_026,,,"(RockOutcrop,Boulder,ScreePatch,CliffFace,ExposedBedrock)",,
ASLB_027,ASLB_027,,,"(CliffFace,ExposedBedrock)",,
ASLB_028,ASLB_028,"(AlpineGrass,Heather,Moss,Reeds,Papyrus)","(StuntedPine,Krummholz)",(RockOutcrop),"(Heather,Lichen,AlpineFlowers,MarshReed)","(Cairn,RockPile)"
ASLB_029,ASLB_029,"(AlpineGrass,Heather,Moss)","(StuntedPine,Krummholz)","(RockOutcrop,ScreeField,Boulder)","(Heather,Lichen,AlpineFlowers)","(Cairn,RockPile)"
ASLB_030,ASLB_030,"(AlpineGrass,Heather,Moss)","(StuntedPine,Krummholz)","(RockOutcrop,ScreeField,Boulder)","(Heather,Lichen,AlpineFlowers)","(Cairn,RockPile)"
ASLB_031,ASLB_031,"(AlpineGrass,Heather)",(StuntedPine),"(RockOutcrop,ScreeField,Boulder)","(Heather,Lichen,AlpineFlowers)","(Cairn,RockPile)"
ASLB_032,ASLB_032,(AlpineGrass),,"(RockOutcrop,ScreeField,Boulder,CliffFace)",(Heather),
ASLB_033,ASLB_033,,,"(RockOutcrop,ScreeField,Boulder,CliffFace,ExposedBedrock)",,
ASLB_034,ASLB_034,,,"(CliffFace,ExposedBedrock)",,
ASLB_035,ASLB_035,"(SparseAlpineGrass,Lichen,BareSoilPatch,Reeds,Papyrus)",(Krummholz),(ScreeField),"(Lichen,AlpineFlowers,MarshReed)",(Cairn)
ASLB_036,ASLB_036,"(SparseAlpineGrass,Lichen,BareSoilPatch)",(Krummholz),"(ScreeField,Boulder,CliffFace)","(Lichen,AlpineFlowers)",(Cairn)
ASLB_037,ASLB_037,"(SparseAlpineGrass,Lichen,BareSoilPatch)",(Krummholz),"(ScreeField,Boulder,CliffFace)","(Lichen,AlpineFlowers)",(Cairn)
ASLB_038,ASLB_038,"(SparseAlpineGrass,Lichen)",,"(ScreeField,Boulder,CliffFace,RockOutcrop)","(Lichen,AlpineFlowers)",(Cairn)
ASLB_039,ASLB_039,(SparseAlpineGrass),,"(ScreeField,Boulder,CliffFace)",(Lichen),
ASLB_040,ASLB_040,,,"(ScreeField,Boulder,CliffFace,ExposedBedrock)",,
ASLB_041,ASLB_041,,,"(CliffFace,ExposedBedrock)",,
ASLB_042,ASLB_042,"(SnowPatch,MeltwaterMoss)",,(ExposedBedrock),(Lichen),(SummitCairn)
ASLB_043,ASLB_043,"(SnowPatch,BareRockPatch,Lichen)",,"(ExposedBedrock,Talus,CliffFace)",(Lichen),(SummitCairn)
ASLB_044,ASLB_044,"(SnowPatch,BareRockPatch,Lichen)",,"(ExposedBedrock,Talus,CliffFace,Boulder)",(Lichen),(SummitCairn)
ASLB_045,ASLB_045,"(SnowPatch,BareRockPatch)",,"(ExposedBedrock,Talus,CliffFace,RockOutcrop)",(Lichen),(SummitCairn)
ASLB_046,ASLB_046,(SnowPatch),,"(ExposedBedrock,Talus,CliffFace)",(Lichen),
ASLB_047,ASLB_047,,,"(ExposedBedrock,Talus,CliffFace)",,
ASLB_048,ASLB_048,,,"(CliffFace,ExposedBedrock)",,
