---,tag,category,meshes,uniformScaleMin,uniformScaleMax,bRandomizeYaw
Moss,Moss,Groundcover,(),0.85,1.15,True
AlpineGrass,AlpineGrass,Groundcover,"(/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassA.SM_MWAM_GrassA,/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassB.SM_MWAM_GrassB,/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassC.SM_MWAM_GrassC,/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassD.SM_MWAM_GrassD,/Game/OWD_Plants_Pack/Add_Props/Grass/Meshes/SM_Grass_05_2.SM_Grass_05_2,/Game/OWD_Plants_Pack/Add_Props/Grass/Meshes/SM_Grass_05_4.SM_Grass_05_4,/Game/OWD_Plants_Pack/Add_Props/Grass/Meshes/SM_Grass_06_3.SM_Grass_06_3)",0.7,1.3,True
Heather,Heather,Groundcover,(),0.85,1.15,True
SparseAlpineGrass,SparseAlpineGrass,Groundcover,"(/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassA.SM_MWAM_GrassA,/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassB.SM_MWAM_GrassB,/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassC.SM_MWAM_GrassC,/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassD.SM_MWAM_GrassD,/Game/OWD_Plants_Pack/Add_Props/Grass/Meshes/SM_Grass_05_2.SM_Grass_05_2,/Game/OWD_Plants_Pack/Add_Props/Grass/Meshes/SM_Grass_05_4.SM_Grass_05_4,/Game/OWD_Plants_Pack/Add_Props/Grass/Meshes/SM_Grass_06_3.SM_Grass_06_3)",0.7,1.3,True
BareSoilPatch,BareSoilPatch,Groundcover,(),0.85,1.15,True
SnowPatch,SnowPatch,Groundcover,"(/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_SnowA.SM_MWAM_SnowA,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_SnowB.SM_MWAM_SnowB,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_SnowC.SM_MWAM_SnowC,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_SnowD.SM_MWAM_SnowD)",0.8,1.2,True
MeltwaterMoss,MeltwaterMoss,Groundcover,(),0.85,1.15,True
BareRockPatch,BareRockPatch,Groundcover,(),0.85,1.15,True
WindsweptPalm,WindsweptPalm,Trees,(),0.85,1.15,True
CoastalPine,CoastalPine,Trees,(),0.85,1.15,True
Oak,Oak,Trees,(),0.85,1.15,True
Birch,Birch,Trees,(),0.85,1.15,True
MixedDeciduous,MixedDeciduous,Trees,(),0.85,1.15,True
Pine,Pine,Trees,(),0.85,1.15,True
Fir,Fir,Trees,(),0.85,1.15,True
DenseConifer,DenseConifer,Trees,(),0.85,1.15,True
StuntedPine,StuntedPine,Trees,(),0.85,1.15,True
Krummholz,Krummholz,Trees,(),0.85,1.15,True
ReefRock,ReefRock,Rocks,"(/Game/Rock_Collection_04/Meshes/Rock_01/StaticMeshes/SM_Rock_01.SM_Rock_01,/Game/Rock_Collection_04/Meshes/Rock_02/StaticMeshes/SM_Rock_02.SM_Rock_02,/Game/Rock_Collection_04/Meshes/Rock_03/StaticMeshes/SM_Rock_03.SM_Rock_03,/Game/Rock_Collection_04/Meshes/Rock_04/StaticMeshes/SM_Rock_04.SM_Rock_04,/Game/Rock_Collection_04/Meshes/Rock_05/StaticMeshes/SM_Rock_05.SM_Rock_05,/Game/Rock_Collection_04/Meshes/Rock_06/StaticMeshes/SM_Rock_06.SM_Rock_06,/Game/Rock_Collection_04/Meshes/Rock_07/StaticMeshes/SM_Rock_07.SM_Rock_07,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_01.SM_Stone_01,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_02.SM_Stone_02,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_03.SM_Stone_03,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_04.SM_Stone_04,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneA.SM_MWAM_StoneA,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneB.SM_MWAM_StoneB,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneC.SM_MWAM_StoneC,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneD.SM_MWAM_StoneD)",0.6,1.8,True
CoralOutcrop,CoralOutcrop,Rocks,"(/Game/Rock_Collection_04/Meshes/Rock_01/StaticMeshes/SM_Rock_01.SM_Rock_01,/Game/Rock_Collection_04/Meshes/Rock_02/StaticMeshes/SM_Rock_02.SM_Rock_02,/Game/Rock_Collection_04/Meshes/Rock_03/StaticMeshes/SM_Rock_03.SM_Rock_03,/Game/Rock_Collection_04/Meshes/Rock_04/StaticMeshes/SM_Rock_04.SM_Rock_04,/Game/Rock_Collection_04/Meshes/Rock_05/StaticMeshes/SM_Rock_05.SM_Rock_05,/Game/Rock_Collection_04/Meshes/Rock_06/StaticMeshes/SM_Rock_06.SM_Rock_06,/Game/Rock_Collection_04/Meshes/Rock_07/StaticMeshes/SM_Rock_07.SM_Rock_07,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_01.SM_Stone_01,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_02.SM_Stone_02,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_03.SM_Stone_03,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_04.SM_Stone_04,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneA.SM_MWAM_StoneA,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneB.SM_MWAM_StoneB,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneC.SM_MWAM_StoneC,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneD.SM_MWAM_StoneD)",0.6,1.8,True
Boulder,Boulder,Rocks,"(/Game/Rock_Collection_04/Meshes/Rock_01/StaticMeshes/SM_Rock_01.SM_Rock_01,/Game/Rock_Collection_04/Meshes/Rock_02/StaticMeshes/SM_Rock_02.SM_Rock_02,/Game/Rock_Collection_04/Meshes/Rock_03/StaticMeshes/SM_Rock_03.SM_Rock_03,/Game/Rock_Collection_04/Meshes/Rock_04/StaticMeshes/SM_Rock_04.SM_Rock_04,/Game/Rock_Collection_04/Meshes/Rock_05/StaticMeshes/SM_Rock_05.SM_Rock_05,/Game/Rock_Collection_04/Meshes/Rock_06/StaticMeshes/SM_Rock_06.SM_Rock_06,/Game/Rock_Collection_04/Meshes/Rock_07/StaticMeshes/SM_Rock_07.SM_Rock_07,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_01.SM_Stone_01,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_02.SM_Stone_02,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_03.SM_Stone_03,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_04.SM_Stone_04,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneA.SM_MWAM_StoneA,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneB.SM_MWAM_StoneB,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneC.SM_MWAM_StoneC,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneD.SM_MWAM_StoneD)",0.6,1.8,True
RockOutcrop,RockOutcrop,Rocks,"(/Game/Rock_Collection_04/Meshes/Rock_01/StaticMeshes/SM_Rock_01.SM_Rock_01,/Game/Rock_Collection_04/Meshes/Rock_02/StaticMeshes/SM_Rock_02.SM_Rock_02,/Game/Rock_Collection_04/Meshes/Rock_03/StaticMeshes/SM_Rock_03.SM_Rock_03,/Game/Rock_Collection_04/Meshes/Rock_04/StaticMeshes/SM_Rock_04.SM_Rock_04,/Game/Rock_Collection_04/Meshes/Rock_05/StaticMeshes/SM_Rock_05.SM_Rock_05,/Game/Rock_Collection_04/Meshes/Rock_06/StaticMeshes/SM_Rock_06.SM_Rock_06,/Game/Rock_Collection_04/Meshes/Rock_07/StaticMeshes/SM_Rock_07.SM_Rock_07,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_01.SM_Stone_01,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_02.SM_Stone_02,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_03.SM_Stone_03,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_04.SM_Stone_04,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneA.SM_MWAM_StoneA,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneB.SM_MWAM_StoneB,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneC.SM_MWAM_StoneC,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneD.SM_MWAM_StoneD)",0.6,1.8,True
CliffFace,CliffFace,Rocks,"(/Game/watermaterials/Meshes/SM_Cliff.SM_Cliff)",0.9,1.1,True
ExposedBedrock,ExposedBedrock,Rocks,"(/Game/Rock_Collection_04/Meshes/Rock_01/StaticMeshes/SM_Rock_01.SM_Rock_01,/Game/Rock_Collection_04/Meshes/Rock_02/StaticMeshes/SM_Rock_02.SM_Rock_02,/Game/Rock_Collection_04/Meshes/Rock_03/StaticMeshes/SM_Rock_03.SM_Rock_03,/Game/Rock_Collection_04/Meshes/Rock_04/StaticMeshes/SM_Rock_04.SM_Rock_04,/Game/Rock_Collection_04/Meshes/Rock_05/StaticMeshes/SM_Rock_05.SM_Rock_05,/Game/Rock_Collection_04/Meshes/Rock_06/StaticMeshes/SM_Rock_06.SM_Rock_06,/Game/Rock_Collection_04/Meshes/Rock_07/StaticMeshes/SM_Rock_07.SM_Rock_07,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_01.SM_Stone_01,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_02.SM_Stone_02,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_03.SM_Stone_03,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_04.SM_Stone_04,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneA.SM_MWAM_StoneA,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneB.SM_MWAM_StoneB,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneC.SM_MWAM_StoneC,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneD.SM_MWAM_StoneD)",0.6,1.8,True
BeachBoulder,BeachBoulder,Rocks,"(/Game/Rock_Collection_04/Meshes/Rock_01/StaticMeshes/SM_Rock_01.SM_Rock_01,/Game/Rock_Collection_04/Meshes/Rock_02/StaticMeshes/SM_Rock_02.SM_Rock_02,/Game/Rock_Collection_04/Meshes/Rock_03/StaticMeshes/SM_Rock_03.SM_Rock_03,/Game/Rock_Collection_04/Meshes/Rock_04/StaticMeshes/SM_Rock_04.SM_Rock_04,/Game/Rock_Collection_04/Meshes/Rock_05/StaticMeshes/SM_Rock_05.SM_Rock_05,/Game/Rock_Collection_04/Meshes/Rock_06/StaticMeshes/SM_Rock_06.SM_Rock_06,/Game/Rock_Collection_04/Meshes/Rock_07/StaticMeshes/SM_Rock_07.SM_Rock_07,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_01.SM_Stone_01,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_02.SM_Stone_02,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_03.SM_Stone_03,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_04.SM_Stone_04,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneA.SM_MWAM_StoneA,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneB.SM_MWAM_StoneB,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneC.SM_MWAM_StoneC,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneD.SM_MWAM_StoneD)",0.6,1.8,True
TidePoolRock,TidePoolRock,Rocks,"(/Game/Rock_Collection_04/Meshes/Rock_01/StaticMeshes/SM_Rock_01.SM_Rock_01,/Game/Rock_Collection_04/Meshes/Rock_02/StaticMeshes/SM_Rock_02.SM_Rock_02,/Game/Rock_Collection_04/Meshes/Rock_03/StaticMeshes/SM_Rock_03.SM_Rock_03,/Game/Rock_Collection_04/Meshes/Rock_04/StaticMeshes/SM_Rock_04.SM_Rock_04,/Game/Rock_Collection_04/Meshes/Rock_05/StaticMeshes/SM_Rock_05.SM_Rock_05,/Game/Rock_Collection_04/Meshes/Rock_06/StaticMeshes/SM_Rock_06.SM_Rock_06,/Game/Rock_Collection_04/Meshes/Rock_07/StaticMeshes/SM_Rock_07.SM_Rock_07,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_01.SM_Stone_01,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_02.SM_Stone_02,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_03.SM_Stone_03,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_04.SM_Stone_04,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneA.SM_MWAM_StoneA,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneB.SM_MWAM_StoneB,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneC.SM_MWAM_StoneC,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneD.SM_MWAM_StoneD)",0.6,1.8,True
FieldStone,FieldStone,Rocks,"(/Game/Rock_Collection_04/Meshes/Rock_01/StaticMeshes/SM_Rock_01.SM_Rock_01,/Game/Rock_Collection_04/Meshes/Rock_02/StaticMeshes/SM_Rock_02.SM_Rock_02,/Game/Rock_Collection_04/Meshes/Rock_03/StaticMeshes/SM_Rock_03.SM_Rock_03,/Game/Rock_Collection_04/Meshes/Rock_04/StaticMeshes/SM_Rock_04.SM_Rock_04,/Game/Rock_Collection_04/Meshes/Rock_05/StaticMeshes/SM_Rock_05.SM_Rock_05,/Game/Rock_Collection_04/Meshes/Rock_06/StaticMeshes/SM_Rock_06.SM_Rock_06,/Game/Rock_Collection_04/Meshes/Rock_07/StaticMeshes/SM_Rock_07.SM_Rock_07,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_01.SM_Stone_01,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_02.SM_Stone_02,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_03.SM_Stone_03,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_04.SM_Stone_04,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneA.SM_MWAM_StoneA,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneB.SM_MWAM_StoneB,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneC.SM_MWAM_StoneC,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneD.SM_MWAM_StoneD)",0.6,1.8,True
ScreePatch,ScreePatch,Rocks,"(/Game/Rock_Collection_04/Meshes/Rock_01/StaticMeshes/SM_Rock_01.SM_Rock_01,/Game/Rock_Collection_04/Meshes/Rock_02/StaticMeshes/SM_Rock_02.SM_Rock_02,/Game/Rock_Collection_04/Meshes/Rock_03/StaticMeshes/SM_Rock_03.SM_Rock_03,/Game/Rock_Collection_04/Meshes/Rock_04/StaticMeshes/SM_Rock_04.SM_Rock_04,/Game/Rock_Collection_04/Meshes/Rock_05/StaticMeshes/SM_Rock_05.SM_Rock_05,/Game/Rock_Collection_04/Meshes/Rock_06/StaticMeshes/SM_Rock_06.SM_Rock_06,/Game/Rock_Collection_04/Meshes/Rock_07/StaticMeshes/SM_Rock_07.SM_Rock_07,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_01.SM_Stone_01,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_02.SM_Stone_02,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_03.SM_Stone_03,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_04.SM_Stone_04,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneA.SM_MWAM_StoneA,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneB.SM_MWAM_StoneB,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneC.SM_MWAM_StoneC,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneD.SM_MWAM_StoneD)",0.6,1.8,True
ScreeField,ScreeField,Rocks,"(/Game/Rock_Collection_04/Meshes/Rock_01/StaticMeshes/SM_Rock_01.SM_Rock_01,/Game/Rock_Collection_04/Meshes/Rock_02/StaticMeshes/SM_Rock_02.SM_Rock_02,/Game/Rock_Collection_04/Meshes/Rock_03/StaticMeshes/SM_Rock_03.SM_Rock_03,/Game/Rock_Collection_04/Meshes/Rock_04/StaticMeshes/SM_Rock_04.SM_Rock_04,/Game/Rock_Collection_04/Meshes/Rock_05/StaticMeshes/SM_Rock_05.SM_Rock_05,/Game/Rock_Collection_04/Meshes/Rock_06/StaticMeshes/SM_Rock_06.SM_Rock_06,/Game/Rock_Collection_04/Meshes/Rock_07/StaticMeshes/SM_Rock_07.SM_Rock_07,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_01.SM_Stone_01,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_02.SM_Stone_02,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_03.SM_Stone_03,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_04.SM_Stone_04,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneA.SM_MWAM_StoneA,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneB.SM_MWAM_StoneB,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneC.SM_MWAM_StoneC,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneD.SM_MWAM_StoneD)",0.6,1.8,True
Talus,Talus,Rocks,"(/Game/Rock_Collection_04/Meshes/Rock_01/StaticMeshes/SM_Rock_01.SM_Rock_01,/Game/Rock_Collection_04/Meshes/Rock_02/StaticMeshes/SM_Rock_02.SM_Rock_02,/Game/Rock_Collection_04/Meshes/Rock_03/StaticMeshes/SM_Rock_03.SM_Rock_03,/Game/Rock_Collection_04/Meshes/Rock_04/StaticMeshes/SM_Rock_04.SM_Rock_04,/Game/Rock_Collection_04/Meshes/Rock_05/StaticMeshes/SM_Rock_05.SM_Rock_05,/Game/Rock_Collection_04/Meshes/Rock_06/StaticMeshes/SM_Rock_06.SM_Rock_06,/Game/Rock_Collection_04/Meshes/Rock_07/StaticMeshes/SM_Rock_07.SM_Rock_07,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_01.SM_Stone_01,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_02.SM_Stone_02,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_03.SM_Stone_03,/Game/OWD_Plants_Pack/Add_Props/Stones/Meshes/SM_Stone_04.SM_Stone_04,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneA.SM_MWAM_StoneA,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneB.SM_MWAM_StoneB,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneC.SM_MWAM_StoneC,/Game/MWLandscapeAutoMaterial/Meshes/Cover/SM_MWAM_StoneD.SM_MWAM_StoneD)",0.6,1.8,True
Seaweed,Seaweed,Plants,(),0.85,1.15,True
Anemone,Anemone,Plants,(),0.85,1.15,True
SeaOats,SeaOats,Plants,(),0.85,1.15,True
MarshReed,MarshReed,Plants,(),0.85,1.15,True
Wildflowers,Wildflowers,Plants,"(/Game/OWD_Plants_Pack/Plants/Meshes/SM_Plant_01_2_G.SM_Plant_01_2_G,/Game/OWD_Plants_Pack/Plants/Meshes/SM_Plant_03_1_G.SM_Plant_03_1_G,/Game/OWD_Plants_Pack/Plants/Meshes/SM_Plant_03_2_G.SM_Plant_03_2_G,/Game/OWD_Plants_Pack/Plants/Meshes/SM_Plant_03_3_G.SM_Plant_03_3_G)",0.8,1.2,True
BeachFlowers,BeachFlowers,Plants,"(/Game/OWD_Plants_Pack/Plants/Meshes/SM_Plant_01_2_G.SM_Plant_01_2_G,/Game/OWD_Plants_Pack/Plants/Meshes/SM_Plant_03_1_G.SM_Plant_03_1_G,/Game/OWD_Plants_Pack/Plants/Meshes/SM_Plant_03_2_G.SM_Plant_03_2_G,/Game/OWD_Plants_Pack/Plants/Meshes/SM_Plant_03_3_G.SM_Plant_03_3_G)",0.8,1.2,True
AlpineFlowers,AlpineFlowers,Plants,"(/Game/OWD_Plants_Pack/Plants/Meshes/SM_Plant_01_2_G.SM_Plant_01_2_G,/Game/OWD_Plants_Pack/Plants/Meshes/SM_Plant_03_1_G.SM_Plant_03_1_G,/Game/OWD_Plants_Pack/Plants/Meshes/SM_Plant_03_2_G.SM_Plant_03_2_G,/Game/OWD_Plants_Pack/Plants/Meshes/SM_Plant_03_3_G.SM_Plant_03_3_G)",0.8,1.2,True
Fern,Fern,Plants,"(/Game/OWD_Plants_Pack/Plants/Meshes/SM_Plant_06_1_G.SM_Plant_06_1_G,/Game/OWD_Plants_Pack/Plants/Meshes/SM_Plant_07_1_G.SM_Plant_07_1_G,/Game/OWD_Plants_Pack/Plants/Meshes/SM_Plant_07_4_G.SM_Plant_07_4_G,/Game/OWD_Plants_Pack/Plants/Meshes/SM_Plant_08_1_G.SM_Plant_08_1_G,/Game/OWD_Plants_Pack/Plants/Meshes/SM_Plant_09_1_G.SM_Plant_09_1_G)",0.8,1.3,True
