---,biomeID,sortOrder,biomeColor,terrainTier,aslUpperM,aslLowerM,minSlopeDeg,maxSlopeDeg,bSlopeAgnostic,slopeRangeLabel,biomeName,bZoneNordic,bZoneTemperate,bZoneTropical,features,quarryPitMinerals,deepMineMinerals,derrickMinerals,cavernMinerals,flora,fauna,crops,hazards
ASLB_011,ASLB_011,11,009900,Highlands,2200.0,2001.0,26.0,45.0,false,26°-45°,High Timberland,true,true,true,(Timber),"(Clay,Flint,Granite,Gypsum,Limestone,Marble,Sand,Slate,Stone)","(Ag,Au,Coal,Cu,Fe,Gems,Pb,Salt,Sn,Zn)",(NatGas),,"(Timber,Flowers)",(Game),"(Herbs,Forage,Apiary)",(Wildfire)
ASLB_012,ASLB_012,12,D9D9D9,Highlands,2200.0,2001.0,46.0,80.0,false,46°-80°,Barren Peaks,true,true,true,,"(Clay,Flint,Granite,Gypsum,Limestone,Marble,Sand,Slate,Stone)","(Ag,Au,Coal,Cu,Fe,Gems,Pb,Salt,Sn,Zn)",(NatGas),,,(Game),,(Snow)
ASLB_013,ASLB_013,13,006600,Upland Coastal,600.0,561.0,6.0,10.0,false,6°-10°,Low Meadows,true,true,true,,"(Chalk,Clay,Coquina,Coral Limestone,Flint,Granite,Guano,Gypsum,Limestone,Marble,Sand,Slate,Stone)","(Coal,Cu,Fe,Pb,Salt,Zn)","(Bitumen,He,NatGas,Petrol)",,"(Grassland,Flowers)",(Game),"(Grazing,Apiary,Row Crops,Orchards)","(Wildfire,Tornado)"
ASLB_014,ASLB_014,14,00CC00,Midlands,1600.0,1401.0,6.0,10.0,false,6°-10°,Mid Meadows,true,true,true,,"(Chalk,Clay,Coal,Flint,Gypsum,Limestone,Peat,Phosphate,Salt,Sand,Stone)","(Ag,Coal,Cu,Fe,Pb,Salt,Zn)","(Bitumen,NatGas,Petrol)",,"(Grassland,Flowers)",(Game),"(Grazing,Apiary,Herbs,Orchards,Row Crops)","(Wildfire,Tornado)"
ASLB_015,ASLB_015,15,00FF00,Highlands,2200.0,2001.0,6.0,10.0,false,6°-10°,High Meadows,true,true,true,,"(Clay,Flint,Granite,Gypsum,Limestone,Marble,Sand,Slate,Stone)","(Ag,Au,Coal,Cu,Fe,Gems,Pb,Salt,Sn,Zn)",(NatGas),,"(Grassland,Flowers)",(Game),"(Grazing,Apiary,Herbs,Orchards)",(Wildfire)
ASLB_016,ASLB_016,16,DDEAB4,Wet Coastal,0.0,-10.0,6.0,10.0,false,6°-10°,Delta,true,true,true,(Flat Bottom Boat Navigable),"(Amber,Clay,Coquina,Coral,Guano,Peat,Phosphate,Salt,Sand)","(Coal,Salt)","(Bitumen,He,NatGas,Petrol)",,"(Bamboo,Reeds,Papyrus,Flowers)","(Fishing,Shellfish)",(Rice),"(Typhoon,Waterspout)"
ASLB_017,ASLB_017,17,FDE9D9,Wet Coastal,520.0,0.0,6.0,10.0,false,6°-10°,Beach,true,true,true,(Barrier Islands),"(Amber,Clay,Coquina,Coral,Guano,Peat,Phosphate,Salt,Sand)","(Coal,Salt)","(Bitumen,He,NatGas,Petrol)",,(Flowers),"(Fishing,Shellfish,Game)",,"(Typhoon,Waterspout,Flooding)"
ASLB_018,ASLB_018,18,00FF00,Highlands,2000.0,1801.0,6.0,10.0,false,6°-10°,High Plains,false,true,false,,"(Clay,Flint,Granite,Gypsum,Limestone,Marble,Sand,Slate,Stone)","(Ag,Au,Coal,Cu,Fe,Gems,Pb,Salt,Sn,Zn)",(NatGas),,"(Grassland,Flowers)",(Game),"(Grazing,Apiary,Herbs,Orchards)",(Wildfire)
ASLB_019,ASLB_019,19,F2F2F2,Mountainous,2200.0,2001.0,81.0,90.0,false,81°-90°,Snow Caps,true,true,true,,"(Granite,Marble,Obsidian,Slate,Stone)","(Ag,As,Au,Coal,Cu,Fe,Gems,Hg,Ni,Pb,S,Sb,Sn,Zn)",,,,,,(Snow)
ASLB_020,ASLB_020,20,F2F2F2,Mountainous,2400.0,2201.0,81.0,90.0,false,81°-90°,Apex Caps,true,true,true,(Snow),"(Granite,Marble,Obsidian,Slate,Stone)","(Ag,As,Au,Coal,Cu,Fe,Gems,Hg,Ni,Pb,S,Sb,Sn,Zn)",,,,,,(Snow)
