Name,Origin,Name,Transliteration
Britain_Frithelstock,Britain,Frithelstock,Frithel’s Stockade
Britain_Frodsham,Britain,Frodsham,Frod’s Homestead
Britain_Fylingdales,Britain,Fylingdales,Fygel’s Valleys
Britain_Garsington,Britain,Garsington,Grass Town
Britain_Giggleswick,Britain,Giggleswick,Gikel’s Dairy Farm
Britain_Gisburn,Britain,Gisburn,Gisa’s Stream
Britain_Glastonbury,Britain,Glastonbury,Glass Fort
Britain_Goring,Britain,Goring,Gara’s People
Britain_Goxhill,Britain,Goxhill,Gawk’s Hill
Britain_Grasmere,Britain,Grasmere,Grass Lake
Britain_Grendon,Britain,Grendon,Green Hill
Britain_Gretton,Britain,Gretton,Great Town
Britain_Halesworth,Britain,Halesworth,Hael’s Enclosure
Britain_Hambledon,Britain,Hambledon,Crooked Hill
Britain_Harbury,Britain,Harbury,Army Fort
Britain_Harlech,Britain,Harlech,High Rock
Britain_Haworth,Britain,Haworth,Hedge Enclosure
Britain_Haxey,Britain,Haxey,Haki’s Island
Britain_Hedon,Britain,Hedon,Heath Hill
Britain_Hemingford,Britain,Hemingford,Heming’s Ford
Britain_Hethersett,Britain,Hethersett,Heather Settlement
Britain_Ickford,Britain,Ickford,Ica’s Ford
Britain_Ickleford,Britain,Ickleford,Icel’s Ford
Britain_Ilminster,Britain,Ilminster,Church on the River Isle
Britain_Ingleton,Britain,Ingleton,Ing’s Town
Britain_Inkberrow,Britain,Inkberrow,Ink’s Barrow
Britain_Inkpen,Britain,Inkpen,Ink Hill
Britain_Ipplepen,Britain,Ipplepen,Ippa’s Pen
Britain_Ivinghoe,Britain,Ivinghoe,Ifa’s Hill
Britain_Iwerne,Britain,Iwerne,Yew River
Britain_Jedburgh,Britain,Jedburgh,None
Britain_Keld,Britain,Keld,Spring
Britain_Kelston,Britain,Kelston,Calf’s Town
Britain_Kewstoke,Britain,Kewstoke,Quay Stockade
Britain_Kexby,Britain,Kexby,Kex Settlement
Britain_Kimbolton,Britain,Kimbolton,Cynebald’s Town
Britain_Kimpton,Britain,Kimpton,Cyne’s Town
Britain_Kington,Britain,Kington,King’s Town
Britain_Kirkby,Britain,Kirkby,Church Settlement
Britain_Knaresborough,Britain,Knaresborough,Knar’s Fort
Britain_Langport,Britain,Langport,Long Market
Britain_Lavenham,Britain,Lavenham,Lafa’s Homestead
Britain_Leckhampstead,Britain,Leckhampstead,Leek Homestead
Britain_Ledbury,Britain,Ledbury,Fort by the River Leadon
Britain_Lidgate,Britain,Lidgate,Swing Gate
Britain_Linton,Britain,Linton,Flax Town
Britain_Louth,Britain,Louth,Loud Stream
Britain_Lydford,Britain,Lydford,Loud Ford
Britain_Lympstone,Britain,Lympstone,Limp’s Stone
Britain_Mablethorpe,Britain,Mablethorpe,Mabil’s Outlying Farm
Britain_Maldon,Britain,Maldon,Hill with a Cross
Britain_Marazion,Britain,Marazion,Little Market
Britain_Marden,Britain,Marden,Boundary Hill
Britain_Masham,Britain,Masham,Maessa’s Homestead
Britain_Mawnan,Britain,Mawnan,None
Britain_Mevagissey,Britain,Mevagissey,Meva and Issa’s Place
Britain_Morwenstow,Britain,Morwenstow,Morwenna’s Place
Britain_Mottisfont,Britain,Mottisfont,Meeting Spring
Britain_Nafferton,Britain,Nafferton,Night Fort
Britain_Nantwich,Britain,Nantwich,Famous Saltworks
Britain_Neatishead,Britain,Neatishead,Nyat’s Headland
Britain_Neston,Britain,Neston,Near the Settlement
Britain_Nettlebed,Britain,Nettlebed,Nettle Place
Britain_Ninfield,Britain,Ninfield,Nine Fields
Britain_Norham,Britain,Norham,North Homestead
Britain_Nunnington,Britain,Nunnington,Nunna’s Town
Britain_Nympsfield,Britain,Nympsfield,Nymph’s Field
Britain_Offley,Britain,Offley,Offa’s Meadow
Britain_Okehampton,Britain,Okehampton,Oak Hamlet
Britain_Olney,Britain,Olney,Ola’s Island
Britain_Ombersley,Britain,Ombersley,Ombe’s Meadow
Britain_Orford,Britain,Orford,Ore Ford
Britain_Oswestry,Britain,Oswestry,Oswald’s Tree
Britain_Otterburn,Britain,Otterburn,Otter Stream
Britain_Ottery,Britain,Ottery,Otter River
Britain_Oundle,Britain,Oundle,None
Britain_Pamber,Britain,Pamber,None
Britain_Pateley,Britain,Pateley,Pate’s Meadow
Britain_Penshurst,Britain,Penshurst,Pen’s Hill Fort
Britain_Pershore,Britain,Pershore,Pear Tree Enclosure
Britain_Petham,Britain,Petham,Peoht’s Homestead
Britain_Pilton,Britain,Pilton,Pile Town
Britain_Pleshey,Britain,Pleshey,Plesa’s Hedge
Britain_Pocklington,Britain,Pocklington,Pockel’s Town
Britain_Puddletown,Britain,Puddletown,Pudda’s Town
Britain_Quedgeley,Britain,Quedgeley,Cwead’s Meadow
Britain_Raskelf,Britain,Raskelf,Roe Deer Wood
Britain_Ravenglass,Britain,Ravenglass,Raven’s Share
Britain_Reeth,Britain,Reeth,Stream
Britain_Rillington,Britain,Rillington,Rilla’s Town
Britain_Risby,Britain,Risby,Brushwood Settlement
Britain_Rodborough,Britain,Rodborough,Red Fort
Britain_Rodmell,Britain,Rodmell,Red Hill
Britain_Ropley,Britain,Ropley,Rope Meadow
Britain_Rugeley,Britain,Rugeley,Ridge Meadow
Britain_Sawtry,Britain,Sawtry,Salt Marsh
Britain_Saxmundham,Britain,Saxmundham,Saxmund’s Homestead
Britain_Sedbergh,Britain,Sedbergh,Flat Hill
Britain_Sedgefield,Britain,Sedgefield,Sedge Plain
Britain_Seend,Britain,Seend,Sandy Place
Britain_Selsey,Britain,Selsey,Seal Island
Britain_Shalbourne,Britain,Shalbourne,Shallow Stream
Britain_Shap,Britain,Shap,Sheep
Britain_Tanworth,Britain,Tanworth,Tan’s Enclosure
Britain_Tarvin,Britain,Tarvin,Boundary Village
Britain_Tenterden,Britain,Tenterden,Tent Pasture
Britain_Tewkesbury,Britain,Tewkesbury,Teodec’s Fort
Britain_Thame,Britain,Thame,River Tame
Britain_Tideswell,Britain,Tideswell,Tid’s Well
Britain_Timsbury,Britain,Timsbury,Timber Fort
Britain_Tockenham,Britain,Tockenham,Tocca’s Homestead
Britain_Udimore,Britain,Udimore,Ude’s Moor
Britain_Uffculme,Britain,Uffculme,Uffa’s Valley
Britain_Uley,Britain,Uley,Yew Meadow
Britain_Ulverston,Britain,Ulverston,Ulfr’s Town
Britain_Upham,Britain,Upham,Upper Settlement
Britain_Uppingham,Britain,Uppingham,Upper Settlement
Britain_Urchfont,Britain,Urchfont,Church Spring
Britain_Utkinton,Britain,Utkinton,Ucca’s Town
Britain_Ventnor,Britain,Ventnor,None
Britain_Wansford,Britain,Wansford,Wand’s Ford
Britain_Wantage,Britain,Wantage,Wæcca’s People
Britain_Warkworth,Britain,Warkworth,Wærc’s Enclosure
Britain_Wem,Britain,Wem,Stain or Marsh
Britain_Weobley,Britain,Weobley,Wibba’s Meadow
Britain_Wetheral,Britain,Wetheral,Sheep Corner
Britain_Winkleigh,Britain,Winkleigh,Wineca’s Meadow
Britain_Wrotham,Britain,Wrotham,Wrota’s Homestead
Britain_Yanworth,Britain,Yanworth,Yana’s Enclosure
Britain_Yarmouth,Britain,Yarmouth,Mouth of the River Yar
Britain_Yarnton,Britain,Yarnton,Yard Town
Britain_Yattendon,Britain,Yattendon,Gate Valley
Britain_Yealmpton,Britain,Yealmpton,Yealm Town
Britain_Yeldersley,Britain,Yeldersley,Yielders’ Meadow
Britain_Yetminster,Britain,Yetminster,Gate Church
Britain_Yoxford,Britain,Yoxford,Yoke Ford
China_An_chi,China,An-chi,Peaceful Stream
China_Ch_ang_hsi,China,Ch’ang-hsi,Long Stream
China_Ch_ang_ning,China,Ch’ang-ning,Eternal Peace
China_Ch_ang_shan,China,Ch’ang-shan,Long Mountain
China_Ch_ang_t_ing,China,Ch’ang-t’ing,Eternal Pavilion
China_Ch_ang_yang,China,Ch’ang-yang,Long Sun
China_Ch_ien_shan,China,Ch’ien-shan,Thousand Mountains
China_Ch_ien_t_ang,China,Ch’ien-t’ang,Thousand Pools
China_Ch_ien_yang,China,Ch’ien-yang,Thousand Suns
China_Ch_ing_ch_uan,China,Ch’ing-ch’uan,Clear Spring
China_Ch_ing_feng,China,Ch’ing-feng,Clear Peak
China_Ch_ing_hsi,China,Ch’ing-hsi,Clear Stream
China_Ch_ing_yuan,China,Ch’ing-yuan,Clear Source
China_Ch_uan_chou,China,Ch’uan-chou,Spring Prefecture
China_Ch_uan_hsi,China,Ch’uan-hsi,Spring Stream
China_Ch_uan_sha,China,Ch’uan-sha,Spring Sand
China_Ch_uan_yang,China,Ch’uan-yang,Spring Sun
China_Chang_lo,China,Chang-lo,Long Happiness
China_Feng_hsiang,China,Feng-hsiang,Phoenix Soaring
China_Fu_ning,China,Fu-ning,Prosperous Peace
China_Hsiang_ch_eng,China,Hsiang-ch’eng,Fragrant City
China_Hsiang_fu,China,Hsiang-fu,Fragrant Prefecture
China_Hsiang_hsi,China,Hsiang-hsi,Fragrant Stream
China_Hsiang_shan,China,Hsiang-shan,Fragrant Mountain
China_Hsiang_t_an,China,Hsiang-t’an,Fragrant Pool
China_Hsiang_yang,China,Hsiang-yang,Fragrant Sun
China_Hsiang_yin,China,Hsiang-yin,Fragrant Sound
China_Hsin_ch_eng,China,Hsin-ch’eng,New City
China_Hsin_chu,China,Hsin-chu,New Bamboo
China_Hsin_feng,China,Hsin-feng,New Peak
China_Hsin_hsing,China,Hsin-hsing,New Prosperity
China_Hsi_ning,China,Hsi-ning,Western Peace
China_Hsin_ning,China,Hsin-ning,New Peace
China_Hsin_shan,China,Hsin-shan,New Mountain
China_Hsin_yang,China,Hsin-yang,New Sun
China_Hsin_yuan,China,Hsin-yuan,New Source
China_Hsiu_ning,China,Hsiu-ning,Elegant Peace
China_K_ai_ch_eng,China,K’ai-ch’eng,Open City
China_K_ai_feng,China,K’ai-feng,Open Abundance
China_K_ai_hua,China,K’ai-hua,Open Flower
China_K_ai_yuan,China,K’ai-yuan,Open Source
China_Kan_chou,China,Kan-chou,Sweet Prefecture
China_Kao_ch_eng,China,Kao-ch’eng,High City
China_Kao_yang,China,Kao-yang,High Sun
China_Kao_yu,China,Kao-yu,High Abundance
China_Kuan_ch_eng,China,Kuan-ch’eng,Pass City
China_Kuan_shan,China,Kuan-shan,Pass Mountain
China_Kuan_yang,China,Kuan-yang,Pass Sun
China_Kuan_yin,China,Kuan-yin,Goddess of Mercy
China_Kuei_chi,China,Kuei-chi,Laurel Stream
China_Kuei_hua,China,Kuei-hua,Laurel Flower
China_Kuei_lin,China,Kuei-lin,Laurel Forest
China_Kuei_shan,China,Kuei-shan,Laurel Mountain
China_Kuei_yang,China,Kuei-yang,Laurel Sun
China_Lan_ch_i,China,Lan-ch’i,Orchid Stream
China_Lien_chiang,China,Lien-chiang,Lotus River
China_Lien_hsiang,China,Lien-hsiang,Lotus Village
China_Lin_ch_ing,China,Lin-ch’ing,Forest Clarity
China_Lin_ch_uan,China,Lin-ch’uan,Forest Spring
China_Lin_hai,China,Lin-hai,Forest Sea
China_Lin_yang,China,Lin-yang,Forest Sun
China_Liu_ch_eng,China,Liu-ch’eng,Willow City
China_Liu_hsi,China,Liu-hsi,Willow Stream
China_Liu_shan,China,Liu-shan,Willow Mountain
China_Liu_yang,China,Liu-yang,Willow Sun
China_Lung_ch_ing,China,Lung-ch’ing,Dragon Clarity
China_Lung_ch_uan,China,Lung-ch’uan,Dragon Spring
China_Lung_hsi,China,Lung-hsi,Dragon Stream
China_Lung_shan,China,Lung-shan,Dragon Mountain
China_Lung_t_ai,China,Lung-t’ai,Dragon Terrace
China_Lung_yen,China,Lung-yen,Dragon Rock
China_Mei_hsien,China,Mei-hsien,Plum County
China_Ming_hsi,China,Ming-hsi,Bright Stream
China_Mu_yang,China,Mu-yang,Shepherd Sun
China_Nan_ch_ang,China,Nan-ch’ang,Southern Prosperity
China_Nan_ch_ing,China,Nan-ch’ing,Southern Clarity
China_Nan_hai,China,Nan-hai,Southern Sea
China_Nan_hsi,China,Nan-hsi,Southern Stream
China_Nan_hsing,China,Nan-hsing,Southern Prosperity
China_Nan_k_ang,China,Nan-k’ang,Southern Health
China_Nan_p_ing,China,Nan-p’ing,Southern Peace
China_Nan_shan,China,Nan-shan,Southern Mountain
China_Nan_t_ung,China,Nan-t’ung,Southern Passage
China_Nan_yang,China,Nan-yang,Southern Sun
China_Ning_ch_eng,China,Ning-ch’eng,Peaceful City
China_Ning_hai,China,Ning-hai,Peaceful Sea
China_Ning_po,China,Ning-po,Peaceful Wave
China_Ning_yuan,China,Ning-yuan,Peaceful Source
China_P_ing_ch_ing,China,P’ing-ch’ing,Peaceful Clarity
China_P_ing_hsiang,China,P’ing-hsiang,Peaceful Village
China_P_ing_hu,China,P’ing-hu,Peaceful Lake
China_P_ing_shan,China,P’ing-shan,Peaceful Mountain
China_P_ing_tu,China,P’ing-tu,Peaceful Capital
China_P_ing_yang,China,P’ing-yang,Peaceful Sun
China_P_u_ch_eng,China,P’u-ch’eng,Simple City
China_P_u_hsi,China,P’u-hsi,Universal Stream
China_P_u_t_ien,China,P’u-t’ien,Universal Field
China_P_u_yang,China,P’u-yang,Universal Sun
China_Pai_sha,China,Pai-sha,White Sand
China_Pao_an,China,Pao-an,Treasure Peace
China_Pao_ch_ing,China,Pao-ch’ing,Treasure Clarity
China_Pao_feng,China,Pao-feng,Treasure Peak
China_Pao_hsing,China,Pao-hsing,Treasure Prosperity
China_Pao_shan,China,Pao-shan,Treasure Mountain
China_Pao_ting,China,Pao-ting,Treasure Stability
China_Pao_yang,China,Pao-yang,Treasure Sun
China_San_ming,China,San-ming,Three Brightness
China_Shan_ch_ing,China,Shan-ch’ing,Mountain Clarity
China_Shan_hsi,China,Shan-hsi,Mountain Stream
China_Shan_t_ung,China,Shan-t’ung,Mountain Passage
China_Shan_yang,China,Shan-yang,Mountain Sun
China_Shan_yin,China,Shan-yin,Mountain Shadow
China_Shao_ch_eng,China,Shao-ch’eng,Shao’s City
China_Shao_hsi,China,Shao-hsi,Shao’s Stream
China_Shao_hsing,China,Shao-hsing,Shao’s Prosperity
China_Shao_hsing_2,China,Shao-hsing,Shao’s Prosperity
China_Shao_t_ai,China,Shao-t’ai,Shao’s Terrace
China_Shao_wu,China,Shao-wu,Shao’s Military
China_Shao_yang,China,Shao-yang,Shao’s Sun
China_Shih_ch_eng,China,Shih-ch’eng,Stone City
China_Shih_men,China,Shih-men,Stone Gate
China_Shih_t_ai,China,Shih-t’ai,Stone Terrace
China_Shih_yang,China,Shih-yang,Stone Sun
China_Sui_ch_ang,China,Sui-ch’ang,Peaceful Prosperity
China_Sui_ch_uan,China,Sui-ch’uan,Peaceful Spring
China_Sui_feng,China,Sui-feng,Peaceful Peak
China_Sui_hsiang,China,Sui-hsiang,Peaceful Village
China_Sui_ning,China,Sui-ning,Peaceful Compliance
China_Sui_shan,China,Sui-shan,Peaceful Mountain
China_Sui_yang,China,Sui-yang,Peaceful Sun
China_T_ai_ho,China,T’ai-ho,Great Harmony
China_T_ai_hsi,China,T’ai-hsi,Great Stream
China_T_ai_p_ing,China,T’ai-p’ing,Great Peace
China_T_ai_shun,China,T’ai-shun,Great Obedience
China_T_ai_yuan,China,T’ai-yuan,Great Source
China_T_ien_t_ai,China,T’ien-t’ai,Heavenly Terrace
China_T_ung_ch_eng,China,T’ung-ch’eng,Unified City
China_T_ung_hsiang,China,T’ung-hsiang,Unified Village
China_T_ung_shan,China,T’ung-shan,Unified Mountain
China_T_ung_yuan,China,T’ung-yuan,Unified Source
China_Ts_ao_chou,China,Ts’ao-chou,Grass Prefecture
China_Ts_ui_p_ing,China,Ts’ui-p’ing,Emerald Peace
China_Ts_ung_hua,China,Ts’ung-hua,Clustered Flowers
China_Ts_ung_shan,China,Ts’ung-shan,Clustered Mountain
China_Ts_ung_yang,China,Ts’ung-yang,Clustered Sun
China_Tung_ch_ing,China,Tung-ch’ing,Eastern Clarity
China_Tung_ch_uan,China,Tung-ch’uan,Eastern Spring
China_Tung_hsiang,China,Tung-hsiang,Eastern Village
China_Tung_hsing,China,Tung-hsing,Eastern Prosperity
China_Tung_kang,China,Tung-kang,Eastern Harbor
China_Tung_shan,China,Tung-shan,Eastern Mountain
China_Tung_t_ai,China,Tung-t’ai,Eastern Terrace
China_Tung_yang,China,Tung-yang,Eastern Sun
China_Wu_chiang,China,Wu-chiang,Black River
China_Wu_chin,China,Wu-chin,Black Gold
China_Wu_hsi,China,Wu-hsi,Black Stream
China_Wu_hsing,China,Wu-hsing,Five Stars
China_Wu_shan,China,Wu-shan,Black Mountain
China_Wu_yuan,China,Wu-yuan,Five Sources
China_Yang_chou,China,Yang-chou,Poplar Prefecture
China_Yen_ch_eng,China,Yen-ch’eng,Salt City
China_Yen_ch_uan,China,Yen-ch’uan,Salt Spring
China_Yen_hsiang,China,Yen-hsiang,Salt Village
China_Yen_p_ing,China,Yen-p’ing,Peaceful Flat
China_Yen_shan,China,Yen-shan,Salt Mountain
China_Yung_an,China,Yung-an,Eternal Peace
China_Yung_ch_ing,China,Yung-ch’ing,Eternal Clarity
China_Yung_chia,China,Yung-chia,Eternal Beauty
China_Yung_feng,China,Yung-feng,Eternal Peak
China_Yung_fu,China,Yung-fu,Eternal Happiness
China_Yung_hsiang,China,Yung-hsiang,Eternal Village
China_Yung_hsin,China,Yung-hsin,Eternal Faith
China_Yung_k_ang,China,Yung-k’ang,Eternal Health
China_Yung_ning,China,Yung-ning,Eternal Peace
China_Yung_shan,China,Yung-shan,Eternal Mountain
China_Yung_t_ai,China,Yung-t’ai,Eternal Terrace
Congo_Aketi,Congo,Aketi,None
Congo_Akula,Congo,Akula,None
Congo_Alima,Congo,Alima,None
Congo_Amadi,Congo,Amadi,None
Congo_Ango,Congo,Ango,None
Congo_Anzika,Congo,Anzika,None
Congo_Asosa,Congo,Asosa,None
Congo_Bafwabaka,Congo,Bafwabaka,None
Congo_Bafwabamba,Congo,Bafwabamba,None
Congo_Bafwabili,Congo,Bafwabili,None
Congo_Bafwaboli,Congo,Bafwaboli,None
Congo_Bafwasende,Congo,Bafwasende,None
Congo_Bafwasengi,Congo,Bafwasengi,None
Congo_Bambesa,Congo,Bambesa,None
Congo_Bandundu,Congo,Bandundu,None
Congo_Bangala,Congo,Bangala,People of the River
Congo_Bangassou,Congo,Bangassou,None
Congo_Bangi,Congo,Bangi,None
Congo_Bango,Congo,Bango,None
Congo_Bangolo,Congo,Bangolo,None
Congo_Banzyville,Congo,Banzyville,None
Congo_Bikala,Congo,Bikala,None
Congo_Bikenge,Congo,Bikenge,None
Congo_Bikolo,Congo,Bikolo,None
Congo_Bikoro,Congo,Bikoro,None
Congo_Bikundu,Congo,Bikundu,None
Congo_Bili,Congo,Bili,None
Congo_Binga,Congo,Binga,None
Congo_Bokala,Congo,Bokala,None
Congo_Bolobo,Congo,Bolobo,None
Congo_Bomba,Congo,Bomba,None
Congo_Bombili,Congo,Bombili,None
Congo_Bomboli,Congo,Bomboli,None
Congo_Bomboma,Congo,Bomboma,None
Congo_Bomongo,Congo,Bomongo,None
Congo_Bondo,Congo,Bondo,None
Congo_Bosanga,Congo,Bosanga,None
Congo_Bosango,Congo,Bosango,None
Congo_Bosobolo,Congo,Bosobolo,None
Congo_Bosondjo,Congo,Bosondjo,None
Congo_Bosukila,Congo,Bosukila,None
Congo_Busira,Congo,Busira,None
Congo_Damba,Congo,Damba,None
Congo_Djabir,Congo,Djabir,None
Congo_Djalo,Congo,Djalo,None
Congo_Djamba,Congo,Djamba,Forest
Congo_Djambi,Congo,Djambi,Forest
Congo_Djoko,Congo,Djoko,None
Congo_Djuma,Congo,Djuma,None
Congo_Ekata,Congo,Ekata,None
Congo_Ekete,Congo,Ekete,None
Congo_Ekoli,Congo,Ekoli,None
Congo_Ekonda,Congo,Ekonda,None
Congo_Ekonda_2,Congo,Ekonda,None
Congo_Ekoso,Congo,Ekoso,None
Congo_Ekwanga,Congo,Ekwanga,None
Congo_Faradje,Congo,Faradje,None
Congo_Feshi,Congo,Feshi,None
Congo_Fimi,Congo,Fimi,None
Congo_Fimi_2,Congo,Fimi,None
Congo_Fizi,Congo,Fizi,None
Congo_Foma,Congo,Foma,None
Congo_Fungurume,Congo,Fungurume,None
Congo_Gbadolite,Congo,Gbadolite,None
Congo_Goma,Congo,Goma,None
Congo_Gombe,Congo,Gombe,None
Congo_Gombi,Congo,Gombi,None
Congo_Gungu,Congo,Gungu,None
Congo_Gwaka,Congo,Gwaka,None
Congo_Gweka,Congo,Gweka,None
Congo_Ikela,Congo,Ikela,None
Congo_Ikoko,Congo,Ikoko,None
Congo_Ilambi,Congo,Ilambi,None
Congo_Imbolo,Congo,Imbolo,None
Congo_Imese,Congo,Imese,None
Congo_Ingende,Congo,Ingende,None
Congo_Inongo,Congo,Inongo,None
Congo_Irebu,Congo,Irebu,None
Congo_Isangi,Congo,Isangi,None
Congo_Isiro,Congo,Isiro,None
Congo_Itende,Congo,Itende,None
Congo_Itoko,Congo,Itoko,None
Congo_Itoko_2,Congo,Itoko,None
Congo_Ituri,Congo,Ituri,None
Congo_Ituri_2,Congo,Ituri,None
Congo_Kabalo,Congo,Kabalo,None
Congo_Kabamba,Congo,Kabamba,None
Congo_Kabeya,Congo,Kabeya,None
Congo_Kabinda,Congo,Kabinda,None
Congo_Kabongo,Congo,Kabongo,None
Congo_Kalima,Congo,Kalima,None
Congo_Kamba,Congo,Kamba,None
Congo_Kamina,Congo,Kamina,None
Congo_Kaniama,Congo,Kaniama,None
Congo_Kasai,Congo,Kasai,None
Congo_Kasenyi,Congo,Kasenyi,None
Congo_Kasongo,Congo,Kasongo,None
Congo_Kasongo_2,Congo,Kasongo,None
Congo_Kenge,Congo,Kenge,None
Congo_Kengele,Congo,Kengele,None
Congo_Kete,Congo,Kete,None
Congo_Kikoka,Congo,Kikoka,None
Congo_Kikonka,Congo,Kikonka,None
Congo_Kikwit,Congo,Kikwit,None
Congo_Kilo,Congo,Kilo,None
Congo_Libenge,Congo,Libenge,None
Congo_Likasi,Congo,Likasi,None
Congo_Likimi,Congo,Likimi,None
Congo_Likingi,Congo,Likingi,None
Congo_Likolo,Congo,Likolo,None
Congo_Lindi,Congo,Lindi,None
Congo_Lisala,Congo,Lisala,None
Congo_Lokandu,Congo,Lokandu,None
Congo_Lokolia,Congo,Lokolia,None
Congo_Lokutu,Congo,Lokutu,None
Congo_Lolo,Congo,Lolo,None
Congo_Lolodorf,Congo,Lolodorf,None
Congo_Lomami,Congo,Lomami,None
Congo_Lomela,Congo,Lomela,None
Congo_Lowa,Congo,Lowa,None
Congo_Luabo,Congo,Luabo,None
Congo_Luama,Congo,Luama,None
Congo_Luanga,Congo,Luanga,None
Congo_Luanza,Congo,Luanza,None
Congo_Lukolela,Congo,Lukolela,None
Congo_Mbamba,Congo,Mbamba,None
Congo_Mbandaka,Congo,Mbandaka,None
Congo_Mbanza,Congo,Mbanza,Village
Congo_Mboka,Congo,Mboka,None
Congo_Mboko,Congo,Mboko,None
Congo_Mboma,Congo,Mboma,None
Congo_Mbonge,Congo,Mbonge,None
Congo_Moba,Congo,Moba,None
Congo_Mobeka,Congo,Mobeka,None
Congo_Mokamo,Congo,Mokamo,None
Congo_Moma,Congo,Moma,None
Congo_Mombesa,Congo,Mombesa,None
Congo_Momboyo,Congo,Momboyo,None
Congo_Mongo,Congo,Mongo,None
Congo_Ndele,Congo,Ndele,None
Congo_Ngandu,Congo,Ngandu,None
Congo_Ngiri,Congo,Ngiri,None
Congo_Ngombe,Congo,Ngombe,None
Congo_Niangara,Congo,Niangara,None
Congo_Nkamba,Congo,Nkamba,None
Congo_Oicha,Congo,Oicha,None
Congo_Okapi,Congo,Okapi,None
Congo_Okoka,Congo,Okoka,None
Congo_Okondo,Congo,Okondo,None
Congo_Opala,Congo,Opala,None
Congo_Oshwe,Congo,Oshwe,None
Congo_Osio,Congo,Osio,None
Congo_Pamba,Congo,Pamba,None
Congo_Pangi,Congo,Pangi,None
Congo_Panzi,Congo,Panzi,None
Congo_Poko,Congo,Poko,None
Congo_Pokofo,Congo,Pokofo,None
Congo_Sakania,Congo,Sakania,None
Congo_Sake,Congo,Sake,None
Congo_Salongo,Congo,Salongo,None
Congo_Sandoa,Congo,Sandoa,None
Congo_Sango,Congo,Sango,None
Congo_Sankuru,Congo,Sankuru,None
Congo_Tembo,Congo,Tembo,None
Congo_Tshikapa,Congo,Tshikapa,None
Congo_Tshilenge,Congo,Tshilenge,None
Congo_Tshiluba,Congo,Tshiluba,None
Congo_Tshimbulu,Congo,Tshimbulu,None
Congo_Tshofa,Congo,Tshofa,None
Congo_Waka,Congo,Waka,None
Congo_Wamba,Congo,Wamba,None
Congo_Wani,Congo,Wani,None
Congo_Wanie,Congo,Wanie,None
Congo_Watsa,Congo,Watsa,None
Congo_Watsi,Congo,Watsi,None
